neuron_id,death_task,death_epoch
84,1,0
182,1,0
193,1,0
422,1,0
430,1,0
205,1,5
1,2,0
2,2,0
3,2,0
4,2,0
7,2,0
10,2,0
17,2,0
19,2,0
20,2,0
22,2,0
24,2,0
25,2,0
28,2,0
29,2,0
31,2,0
34,2,0
37,2,0
40,2,0
41,2,0
42,2,0
43,2,0
46,2,0
48,2,0
51,2,0
52,2,0
54,2,0
61,2,0
65,2,0
66,2,0
67,2,0
68,2,0
71,2,0
74,2,0
75,2,0
76,2,0
78,2,0
83,2,0
86,2,0
88,2,0
89,2,0
90,2,0
92,2,0
94,2,0
95,2,0
96,2,0
100,2,0
101,2,0
103,2,0
106,2,0
107,2,0
111,2,0
113,2,0
115,2,0
116,2,0
117,2,0
118,2,0
119,2,0
120,2,0
122,2,0
127,2,0
128,2,0
129,2,0
131,2,0
132,2,0
135,2,0
145,2,0
147,2,0
148,2,0
149,2,0
152,2,0
160,2,0
161,2,0
162,2,0
163,2,0
168,2,0
171,2,0
177,2,0
178,2,0
180,2,0
183,2,0
190,2,0
192,2,0
194,2,0
196,2,0
202,2,0
214,2,0
222,2,0
223,2,0
225,2,0
226,2,0
227,2,0
229,2,0
230,2,0
231,2,0
233,2,0
236,2,0
237,2,0
239,2,0
241,2,0
244,2,0
246,2,0
247,2,0
249,2,0
250,2,0
251,2,0
254,2,0
255,2,0
257,2,0
258,2,0
259,2,0
260,2,0
263,2,0
268,2,0
270,2,0
275,2,0
276,2,0
278,2,0
281,2,0
282,2,0
283,2,0
284,2,0
285,2,0
289,2,0
290,2,0
292,2,0
296,2,0
302,2,0
303,2,0
304,2,0
309,2,0
314,2,0
315,2,0
320,2,0
324,2,0
327,2,0
329,2,0
330,2,0
339,2,0
341,2,0
343,2,0
348,2,0
350,2,0
351,2,0
356,2,0
358,2,0
361,2,0
362,2,0
363,2,0
365,2,0
366,2,0
368,2,0
370,2,0
371,2,0
372,2,0
377,2,0
380,2,0
381,2,0
382,2,0
384,2,0
386,2,0
387,2,0
389,2,0
390,2,0
392,2,0
396,2,0
397,2,0
401,2,0
403,2,0
404,2,0
406,2,0
408,2,0
409,2,0
412,2,0
413,2,0
414,2,0
417,2,0
419,2,0
420,2,0
421,2,0
424,2,0
428,2,0
433,2,0
437,2,0
441,2,0
446,2,0
451,2,0
452,2,0
453,2,0
454,2,0
455,2,0
457,2,0
462,2,0
466,2,0
467,2,0
471,2,0
475,2,0
478,2,0
486,2,0
487,2,0
488,2,0
490,2,0
493,2,0
494,2,0
495,2,0
496,2,0
501,2,0
502,2,0
503,2,0
507,2,0
508,2,0
509,2,0
511,2,0
0,3,0
12,3,0
13,3,0
18,3,0
21,3,0
23,3,0
53,3,0
79,3,0
87,3,0
102,3,0
136,3,0
164,3,0
187,3,0
189,3,0
200,3,0
203,3,0
206,3,0
232,3,0
262,3,0
298,3,0
306,3,0
308,3,0
311,3,0
319,3,0
321,3,0
322,3,0
326,3,0
331,3,0
334,3,0
335,3,0
337,3,0
340,3,0
344,3,0
367,3,0
369,3,0
395,3,0
407,3,0
410,3,0
416,3,0
427,3,0
434,3,0
435,3,0
458,3,0
474,3,0
476,3,0
482,3,0
27,3,1
134,3,1
184,3,1
191,3,1
294,3,1
305,3,1
354,3,1
8,4,0
30,4,0
58,4,0
85,4,0
93,4,0
97,4,0
123,4,0
143,4,0
173,4,0
186,4,0
211,4,0
216,4,0
228,4,0
242,4,0
252,4,0
256,4,0
274,4,0
279,4,0
280,4,0
291,4,0
297,4,0
310,4,0
317,4,0
338,4,0
345,4,0
347,4,0
385,4,0
388,4,0
391,4,0
415,4,0
460,4,0
470,4,0
472,4,0
473,4,0
479,4,0
481,4,0
489,4,0
