model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,0.0,163.0,180.0,430.0
relu_0.1_ghada_sgd,0.0,0.0,4.0,3.0,79.0
relu_0.1_ours_adam,0.0,0.0,163.0,307.0,361.0
relu_0.1_ours_sgd,0.0,0.0,4.0,3.0,79.0
relu_0.2_ghada_adam,0.0,12.0,304.0,383.0,443.0
relu_0.2_ghada_sgd,20.0,0.0,78.0,148.0,116.0
relu_0.2_ours_adam,0.0,12.0,321.0,398.0,415.0
relu_0.2_ours_sgd,20.0,0.0,157.0,106.0,283.0
relu_0.3_ghada_adam,2.0,80.0,371.0,429.0,476.0
relu_0.3_ghada_sgd,391.0,427.0,411.0,303.0,365.0
relu_0.3_ours_adam,2.0,90.0,364.0,411.0,477.0
relu_0.3_ours_sgd,391.0,354.0,434.0,346.0,394.0
