model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.1_method1_adam,96.9,42.5,26.1,24.64,16.85,41.4
relu_0.1_method1_sgd,97.25,43.48,31.28,23.98,19.62,43.12
relu_0.1_method2_adam,96.9,42.5,26.1,24.64,16.85,41.4
relu_0.1_method2_sgd,97.25,43.48,31.28,23.98,19.62,43.12
relu_0.2_method1_adam,96.9,42.5,26.03,19.75,17.06,40.45
relu_0.2_method1_sgd,97.25,43.5,31.42,24.45,19.04,43.13
relu_0.2_method2_adam,96.9,42.5,26.15,19.84,17.1,40.5
relu_0.2_method2_sgd,97.25,43.5,31.42,23.95,14.66,42.16
relu_0.3_method1_adam,96.9,36.72,25.12,19.85,19.27,39.57
relu_0.3_method1_sgd,97.25,43.55,31.0,24.48,18.77,43.01
relu_0.3_method2_adam,96.9,34.9,31.48,21.29,17.2,40.35
relu_0.3_method2_sgd,97.25,43.88,31.17,24.5,18.78,43.12
