model,Task_2_Reviving,Task_3_Reviving,Task_4_Reviving
leaky_relu_0.2_method2_adam,,6.0,15.0
leaky_relu_0.2_method2_sgd,,2.0,1.0
leaky_relu_0.2_method2_adam,,6.0,15.0
leaky_relu_0.2_method2_sgd,,2.0,1.0
leaky_relu_0.3_method2_adam,8.0,29.0,17.0
leaky_relu_0.3_method2_sgd,19.666666666666668,50.0,20.333333333333332
leaky_relu_0.3_method2_adam,8.0,20.0,19.0
leaky_relu_0.3_method2_sgd,15.666666666666666,55.0,12.333333333333334
relu_0.2_method2_adam,,3.0,8.0
relu_0.2_method2_sgd,18.333333333333332,4.0,
relu_0.2_method2_adam,,3.0,8.0
relu_0.2_method2_sgd,18.333333333333332,4.0,
relu_0.3_method2_adam,1.0,30.0,15.0
relu_0.3_method2_sgd,54.333333333333336,31.0,9.0
relu_0.3_method2_adam,1.0,37.0,17.0
relu_0.3_method2_sgd,54.0,34.0,22.0
silu_0.2_method2_adam,2.0,44.0,13.333333333333334
silu_0.2_method2_adam,2.0,44.0,13.333333333333334
silu_0.3_method2_adam,27.0,56.666666666666664,20.333333333333332
silu_0.3_method2_sgd,,10.333333333333334,7.0
silu_0.3_method2_adam,27.0,45.0,24.666666666666668
silu_0.3_method2_sgd,,10.333333333333334,7.0
